institution-id,institution-name,location-id
61961,Keuka College,80720
59941,Oregon Institute of Technology,80094
59941,Oregon Institute of Technology,80298
60168,Georgia State University,119493
60287,University of Missouri-Kansas City,143076
62054,Lehigh University,93007
62232,Mercer University,142542
62232,Mercer University,142543
62232,Mercer University,142874
59907,Indiana State University,80017
62855,Regis College,127831
63877,Webster University,93540
63495,United States Coast Guard Academy,117143
63495,United States Coast Guard Academy,138289
63495,United States Coast Guard Academy,143532
63495,United States Coast Guard Academy,143642
63733,University of St. Francis,128501
61987,Laguna College of Art and Design,140436
62150,Lynn University,91162
62172,Manor College,142847
62197,Marymount Manhattan College,113551
62214,McMurry University,140420
62485,New Jersey City University,93985
62533,North Dakota State University-Main,142910
62601,Northwestern University,94674
62601,Northwestern University,142987
62601,Northwestern University,143018
62601,Northwestern University,142941
62639,Ohio Technical College,139559
62941,Saint Augustine's University,142922
63607,University of North Carolina at Pembroke,130666
63607,University of North Carolina at Pembroke,130667
63716,University of Science and Arts of Oklahoma,80761
60702,Bryant University,138349
59870,Concordia College-New York,79920
59946,Park University,80104
60020,York College,80316
60197,Mills College,124860
60197,Mills College,141248
63906,Western Connecticut State University,143198
63965,William Penn University,139107
60906,Colby College,123399
61184,East Stroudsburg University ,140488
61184,East Stroudsburg University ,140489
61489,Grove City College,80915
61821,Ivy Tech Community College,140821
62384,Morningside College,142920
60252,San Jose State University,80159
63573,University of Maryland Eastern Shore,138856
61510,Harding University,90658
62060,Lewis University,80514
62060,Lewis University,121808
62060,Lewis University,121809
60098,Barry University,89398
60098,Barry University,89401
60161,Georgia Institute of Technology,95415
61304,Fairfield University,80511
61304,Fairfield University,141383
63576,University of Maryland,90093
60370,Alaska Pacific University,80519
60998,Concordia University-Ann Arbor,142099
62346,Missouri University of Science and Technology,135757
62346,Missouri University of Science and Technology,135761
63279,Sullivan University,136697
63279,Sullivan University,138367
63279,Sullivan University,141293
61871,Johns Hopkins University - Carey School of Business,118544
61871,Johns Hopkins University - Carey School of Business,118545
62163,Malone University,80423
62163,Malone University,142364
61145,Dickinson College,139515
60107,Ball State University,89461
62902,Robert Morris University,80590
60933,Saint Elizabeth University,91654
61613,Houston Baptist University,141652
62368,Montgomery College,131694
62368,Montgomery College,131695
62368,Montgomery College,131696
62803,Presentation College,92077
63558,University of Idaho,142679
62569,Northland Community and Technical College,92000
62569,Northland Community and Technical College,92001
62569,Northland Community and Technical College,92004
62569,Northland Community and Technical College,92006
63302,Susquehanna University,85933
63302,Susquehanna University,143753
63302,Susquehanna University,142259
63302,Susquehanna University,142256
63302,Susquehanna University,142257
63519,University of Alaska Fairbanks,80721
